issue_id,issue_link,post,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9,q10,a10
hudbrog_gCodeViewer_issues_14,https://github.com/hudbrog/gCodeViewer/issues/14,"Hello, I love what you've created here and I'm especially interested in estimating the build time, and amount of plastic used, so that I can offer quotes prior to printing. The one hitch is that I use, and love, the MakerWare software, which exports .x3g files instead of .gcode files. Would it be possible to adapt the site to read these files as well? Thank you, Eric",Could you share one of the files which aren't working?,,Will it work for you ? What problem are you trying to solve ?,,Do you mean the custom icon in Flatland project or the default Sublime Text icon?,,"What text editor are you using? What I meant was, if you change the syntax highlighting of the opened file to _HTML (Twig)_ then the snippets will work as expected.",,Does that all make sense?,,Maybe you could get in touch with this guy so you don't both do Tut 3 and 4? Maybe you could split it up? http://www.indiedb.com/games/trainsported/forum/thread/german-translation#829648 Sorry about this O.o....,,Does it sound like this is what's going on?,,Could this be integrated into Travis CI? Does it work under linux?,,Doesn't makerware estimate print time?,,Can you upload the image here so I can test?,
DFHack_dfhack_issues_1555,https://github.com/DFHack/dfhack/issues/1555,"Moving files and folders is not documented in the docs: https://dfhack.readthedocs.io/en/stable/docs/Lua%20API.html#filesystem-module It was a luck guess that the command `mvfile(src_file, dest_file)` exists and the parameters is has.",What DFHack version are you using?,,Should we close this one then?,,"What are you looking for, from us? Is there a bug you've found? Thanks!",,What DFHack and DF version are you using?,,Could you please create docs related issues in the appropriate repository?,,What types of items are you creating?,,Does this happen in all worlds? Are you talking about vanilla reactions or advfort?,,"Can you try disabling specific DFHack tools to see what the problem is? If not, please upload/attach a save and provide instructions for reproducing the issue.",,How did you call it?,,Which DF version/OS is this? EDIT: clicked the wrong submit button. Bah.,
bugsnag_bugsnag-cocoa_issues_111,https://github.com/bugsnag/bugsnag-cocoa/issues/111,"Hey guys, since updating to 5.2.1 we register a lot of crashes on app start. It's hard to reproduce because for me issue occurs 5 of 100 app starts. I read some threads on kscrash github repo about this or similar problems e.g. https://github.com/kstenerud/KSCrash/issues/144 or https://github.com/kstenerud/KSCrash/issues/155 Thanks! `EXC_BAD_ACCESS Attempted to dereference garbage pointer 0x18b. /usr/lib/libobjc.A.dylib objc_msgSend Frameworks/KSCrash.framework/KSCrash handleDealloc_NSObject Frameworks/CoreFoundation.framework/CoreFoundation <redacted> /usr/lib/libobjc.A.dylib _ZN11objc_object17sidetable_releaseEb /usr/lib/libobjc.A.dylib _ZN12_GLOBAL__N_119AutoreleasePoolPage3popEPv PrivateFrameworks/FrontBoardServices.framework/FrontBoardServices <redacted> PrivateFrameworks/FrontBoardServices.framework/FrontBoardServices <redacted> PrivateFrameworks/FrontBoardServices.framework/FrontBoardServices <redacted> Frameworks/CoreFoundation.framework/CoreFoundation <redacted> Frameworks/CoreFoundation.framework/CoreFoundation <redacted> Frameworks/CoreFoundation.framework/CoreFoundation <redacted> Frameworks/CoreFoundation.framework/CoreFoundation CFRunLoopRunSpecific Frameworks/CoreFoundation.framework/CoreFoundation CFRunLoopRunInMode Frameworks/UIKit.framework/UIKit <redacted> Frameworks/UIKit.framework/UIKit UIApplicationMain`",Which version of bugsnag-cocoa are you using? Can you link to an example error report?,,"Maybe run with zombies turned on, or other memory tests?",,Could you please try to add some @synchronized block around method contents of imageCache:didFindImage:forKey:userInfo: and cancelForDelegate: and tell me if it still happen?,,Do you have a repro?,,Can you provide an example that reproduces this?,,can you reproduce it all the time?,,Can you get to the url via browser?,,Can you provide your KSCrash version as well? I'm taking a look.,,Do you have a way to reproduce this issue?,,did you upgrade your brew repo? brew update && brew upgrade ? you should get version 1.1 from brew . 0.9.2014.11.16 is a bit old :),
jshint_jshint_issues_2374,https://github.com/jshint/jshint/issues/2374,eg alert('Please choose a name for your saved game.'); reports alert in the unused variable list.,Can you provide an example?,,What is an example use case for combining two?,,Can you post some more code?,,Can you illustrate with a jsfiddle example?,,What version of Foundation are you using? This should work out of the box.,,Do you define fs as a dependecy in your package.json?,,What is that ?,,Can you please add a test from the commandline? I need the command and the result. Martin,,Do you have any info on which device this is happened and what SDK version do you use?,,What did you use foo for in this example?,
aspnetboilerplate_aspnetboilerplate_issues_4211,https://github.com/aspnetboilerplate/aspnetboilerplate/issues/4211,"Hi There was a problem with the lingual entity, does it must have primary key integer? thanks",Do you want to achieve some specific task ?,,Can you create a simple project that reproduces this?,,Would you like to hide app service or one of it's method ?,,What problem? Show code.,,Where do you need it? Just converting a camelCase string to PascalCase string?,,Can you write a little more? Why do you think it's a data filter issue? Doesn't it write any delete audit properties or specific to an entity type?,,Can you try to crea te new System.Transactions.TransactionScope object to see if it has a default constructor?,,"What is error detail? ABP has a little typescript, just d.ts definition files. And they are properly compiled for us.",,Could you find the reason or calling code? How did you checked it?,,Can you extend your suggestion?,
antirez_redis_issues_1325,https://github.com/antirez/redis/issues/1325,"=== REDIS BUG REPORT START: Cut & paste starting from here === [28236] 14 Oct 10:07:53.776 # ------------------------------------------------ [28236] 14 Oct 10:07:53.776 # !!! Software Failure. Press left mouse button to c ontinue [28236] 14 Oct 10:07:53.777 # Guru Meditation: ""OOM"" #..\src\redis.c:2817 [28236] 14 Oct 10:07:53.777 # ------------------------------------------------",Can you share configuration of redis and host machine?,,Which OS? 2. What version of Firefox? 3. A live example is always appreciated.,,"Can you use dvbv5-zap (part of dvb-tools) instead? It appears to support ATSC, and is currently supported.",,Can you try with one of our samples or create a sample we can try it out?,,What problem are you having? Have you recompiled errcheck with 1.4?,,What time zone are you in? I'm guessing Brazil?,,What did you expect this example to do?,,Could you double check your bookmarks or local menu adjustments? This seems to be originated somewhere in your settings i guess.,,How are you reproducing this?,,Maybe you can rewrite it and submit a pull-request there?,
mozilla_pdf.js_issues_3327,https://github.com/mozilla/pdf.js/issues/3327,This is an old (~1989) pdf http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1989A%26A...213L..23S&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf can it be rendered better? Using PDF Viewer 0.8.1 in Mac OSX,Do you get an empty file as well ?,,What browser is that in? I did some quick checks in Chrome and Firefox on OSX and the URL's looked/worked ok.,,Can you try opening it with the web viewer: http://mozilla.github.io/pdf.js/web/viewer.html?,,"What version of firefox, pdf.js and operating system are you using?",,Can you give me a sample input that does that? Fenced code block don't normally double-encode ampersands.,,What OS/browser-version do you use?,,Can you post the issue to [fabpot/twig-extensions](https://github.com/fabpot/twig-extensions) repository? Because the wordwrap filter isn't a part of the core extension. Ideally a small gist which demostrate the bug would be nice!,,What operating system are you using?,,What do you mean by fragment?,,What is the specific problem? Can you find another PDF with the same problem that we can access?,
afaqurk_linux-dash_issues_48,https://github.com/afaqurk/linux-dash/issues/48,There are no statics shown! ![Uploading linuxdash.png . . .](),"did you enable ""shell_exec"" and ""exec"" in your php ?",,What does it report for you?,,Does it work with 0.17.0?,,"Can you recommend anything? If not, I will add it on the roadmap for a future iteration.",,Can you reproduce this on the development branch?,,"do any files appear? Linfo works by parsing through /sys/block, and I wonder if on that rpi there are unexpected/missing things in that folder",,What page are you trying to save? What error do you see?,,Can you execute /usr/bin/vcgencmd?,,"Can you please open your Python interpreter on both platforms, execute locale.getpreferredencoding(False) and provide the results?",,"Could you tell me your device specs, especially screen size and density (dpi)?",
BIDData_BIDMat_issues_69,https://github.com/BIDData/BIDMat/issues/69,"It seems matrix multiply is not implemented for GSMat and GSMat. Are there any plans to support this (e.g., cuSPARSE's csrGEMM)?","What version of Python are you using, 2 or 3? This is normal; see http://docs.scipy.org/doc/scipy/reference/api.html#guidelines-for-importing-functions-from-scipy",,What kind of problem you are solving?,,Which layout file do you use ?,,What is a matrix parameter?,,What's your use case?,,do you expect the similarity matrix to have a lot of zeros? if not it makes a lot more sense to store it as a dense array. my 2c,,How is that done? @pv ?,,Do we want to explicitly set it in networkx.to_scipy_sparse_matrix?,,How about this https://docs.scipy.org/doc/scipy/reference/generated/scipy.sparse.linalg.LinearOperator.transpose.html ?,,Why do you expect that to work? I would expect that the left and right matrices are not modified and that the results matrix is.,
castleproject_Windsor_issues_367,https://github.com/castleproject/Windsor/issues/367,"I found this thread from the old dev mailing list: https://groups.google.com/forum/#!topic/castle-project-devel/YMMtmr5sZr4 It seems that patch wasn't applied, and Windsor still doesn't have some kind of Json config loader, right? I'm trying to put at the same place the configurations values for angularjs DI and my castle windsor backend.",What is your use case for wanting external configuration like this?,,How about if you provide it with symbols?,,Can you please be more specific on your setup so that I can reproduce the problem?,,when did you install? this is with numpy 1.8? numexpr < 2 is prohibited maybe just a note in the install.rst....care to do PR?,,"Can you please provide entire resulting config or whatever to help respond future questions of this kind? I have nearly zero experience with webpack, any information is valuable. Thanks )",,Can you also attach the proto definition and maybe also data for us to take a look?,,Does that make roughly make sense? Do you have any other ideas?,,Can you try checking out this project https://github.com/waneck/net-lib-tests and running the build.hxml? The Unity dlls are already included there.https://github.com/waneck/net-lib-tests,,Can you elaborate on your example? What output are you hoping for?,,Do you compile/install CVXOPT manually or using pip?,
