issue_id,issue_link,post,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9,q10,a10
qTox_qTox_issues_2353,https://github.com/qTox/qTox/issues/2353,"Hello. I Russian and i use Qtox. But CameraDevice.cpp error on 224(opendevice). Qtox is freeze. And only cloze Qtox - Ctrl+C in terminale. My system Ubuntu 14.04 ![none device](https://cloud.githubusercontent.com/assets/15014747/10337843/1f3edcd4-6d0b-11e5-86bd-24ba91eede7b.png) First screenshot - device None, second - opening camera and freeze. Help me please ![opening camera device](https://cloud.githubusercontent.com/assets/15014747/10337878/652a5bba-6d0b-11e5-8a02-47b150b14904.png)",Does it work if you use your webcam in other programs?,,"What distro are you using? How did you get the previous versions that used to work? Did you compile them yourself, or from Jenkins, or...?",,Why should it contain name other than your present?,,What distro did the crash happen on ? Ubuntu ?,,Did you install libqrencode and its development files?,,Can you post the content of ~/Library/Preferences/tox/qtox.log or the output when running qtox from a terminal ? This looks like a packaging issue (problem with macdeployqt) according to Google. @stqism,,does the video preview show a picture?,,"What do you mean by ""periodically""?",,Do other programs that use your webcam also show bluish video? Did you try to adjust the camera settings with a tool like qv4l2 or guvcview?,,Did you intentionally open 6 different qTox instances?,
SpecFlowOSS_SpecFlow_issues_768,https://github.com/SpecFlowOSS/SpecFlow/issues/768,"Hi I have a feature that requires generates test sample before all scenarios and i don't want to use background because it gets run for each scenarios as my test sample are same for all of them, what is the best way to achieve this? i was thinking to use BeforeFeature hook but it isn't able to parameterize data using something similar like Scenario Outlines? Many thanks Ming",Which version of scikit-learn?,,Can you share your step definition code? Are you using Cucumber or JBehave? How long do the tests take to run?,,How about using scan or scan_iter?,,"Why would you want to have Background be ""called"" before this collection of scenarios?",,Do you wanna share the solution ? Eg. you could ping the db server by http request (from the e2e spec).,,What editor OS and version of PowerShell are you using? ![capture](https://cloud.githubusercontent.com/assets/5735905/10448418/0a84bde6-718d-11e5-8127-ea101e2e425f.png),,What is the source of your data?,,Maybe related to #96?,,"Could you provide an example of input, actual output, and expected output?",,What goal you want to achieve?,
vlucas_frisby_issues_166,https://github.com/vlucas/frisby/issues/166,"I'm trying to test a POST where the body type as follow: { ""params"": { ""params1"": 1, ""params2"": 2}} Can you give me any idea how to test it? thank you",Could you please try the sample and if it works perhaps try and break it by adding things that are different in your case?,,"Could you please share a sample repo with your wallaby config and a couple of files, I'll have a look what can be done?",,which version of Guzzle are you using ?,,How do you find out that the request is sent twice? I haven't seem this case in 0.8.5.,,Do you have any pseudo code in mind?,,Can I close this ticket?,,can you be more clear? i didn understood. What you would like to test?,,Did you try posting on the [Mailing List](https://groups.google.com/forum/#!forum/nightwatchjs) or [StackOverflow](http://stackoverflow.com/questions/tagged/nightwatch.js)? The GitHub Issues list is meant for submitting bugs and feature requests.,,Which swagger-core dependency do you use?,,Do you have any ideas - how would a test for Oracle BLOB look like?,
leafo_scssphp_issues_369,https://github.com/leafo/scssphp/issues/369,"is there a way to manipulate the output css before it gets saved? i implement an autoprefixer and think about how i can manipulate the compiled css, so for now my workflow is hardcoded in Compiler.php method compile() maybe there is a better way to dothis?",why would you want to do this? CSS is a flat less - with no variables and mixins. do you want to autocreate mixins or find variables?,,Why not just use a container and add the color yourself? Look at the CSS on https://wrapbootstrap.com/ for an example.,,"what's the problem? it's just not indented correctly, they dont have to be 2, 4, etc spaces but they should match if they're considered the same block",,What visual effect are you trying to achieve? adding background to line elements won't work very well because it will hide the selection.,,Can you explain what you mean? How are the options modified? What do you see happening?,,Can you please be a bit more specific on what you want to achieve and what's the actual issue?,,Maybe add methods to the Formatter?,,"Can you provide a sample application on GitHub, or at least post this code into a Gist?",,what's exactly should be documented?,,"Can you please elaborate what you mean by ""handle""?",
danbooru_danbooru_issues_1883,https://github.com/danbooru/danbooru/issues/1883,Add `<link>` elements to the `<head>` element to all paginated pages. Examples of link relationships to add are next and prev.,"Could describe it a little bit more in detail, or better, setup a JSFiddle with some sample code?",,Can you give the exact text you want to add?,,"cant you already do HTML::link(""www.google.com"",""html here""); ?",,How does your TypoScript language configuration look like?,,What are you trying to do?,,Can you please provide a sample application that reproduces the error?,,What browser are seeing this on?,,Which page? that main.css will be created at first time of scaffolding.,,Could you clarify what link you'd like to be added and where?,,Do you have an example use case for this? It seems like it would become unmanageable really quickly.,
emicklei_go-restful_issues_380,https://github.com/emicklei/go-restful/issues/380,i want to http request end trigger record log .,did you read https://github.com/emicklei/go-restful/issues/372 ?,,Can you provide an example?,,Can you share the PCAP and any configuration settings that you've changed?,,which version of the httpclient gem are you using?,,Maybe you could help out?,,Why should we include them in the response body ?,,"Do you want to also capture the response, or just throw it away?",,Can you provide the Go struct definition of Region ?,,Can you access the apidocs.json ? What does it include?,,Could you give me a little more detail? If you send me your stub definitions the source for test.html I might be able to help.,
wpmetabox_meta-box_issues_1093,https://github.com/wpmetabox/meta-box/issues/1093,In a Stratus wordpress template I have duplicate meta boxes I can't get rid off. Has anyone an idea what this causes? ![schermafbeelding 2017-03-22 om 10 30 53](https://cloud.githubusercontent.com/assets/14179060/24191149/203f0dce-0eeb-11e7-933b-442f68115a4f.png) ![schermafbeelding 2017-03-22 om 10 30 28](https://cloud.githubusercontent.com/assets/14179060/24191150/2044d718-0eeb-11e7-892b-c7599ab40929.png),Can you try with no plugins activated (and then activate one by one)?,,What are you trying to do?,,What do you see when accessing <ip>/wordpress via browser?,,What do you mean by in multiple files?,,can you share the versions of the [dependencies](https://github.com/saxix/django-adminactions/blob/develop/src/adminactions/requirements/install.any.pip) ?,,Can you show me the list of activated plugins and the admin menu (screenshots)?,,"Can you give me the steps so I can replicate the issue? If possible, I want to solve this before releasing the new version.",,Can you describe more detail about what you want?,,What do you mean by using it inside your theme? Do you mean adding fields to a theme settings page?,,Could you also provide a list of activated plugins?,
rspec_rspec-rails_issues_360,https://github.com/rspec/rspec-rails/issues/360,I'm having trouble with my Capybara integration specs and rspec-rails 2.6.0.rc4. It's simple `visit '/'` which explodes. 2.6.0.rc2 works great. What has been changed? Capybara version is 1.0.0.beta1,Which version of rb-fsevent are you using?,,Did you add Capybara to your Gemfile?,,What's on or near line 237 in the file in question?,,Could you please update the wiki accordingly? Thanks.,,How are you running the rspec suite? Can you also post the full output of the rspec suite run that shows the issue?,,What gems do you have in your Gemfile? Anything significant?,,Do we really need to support custom options file? We've already got cascading ./.rspec and ~/.rspec. What's the use case for multiple option files per project?,,How/where are you requiring capybara?,,"Did you try rails generate cucumber:install --capybara ? Otherwise, it will default to webrat.",,Can you share your solution? Thanks,
dustinrue_ControlPlane_issues_276,https://github.com/dustinrue/ControlPlane/issues/276,"Almost everytime my mac wakes from sleep ControlPlane crashes. OS X 10.8.4, CP 1.4.0-beta What information do you need from me?","Which version of Xcode (not iOS, the actual IDE)?",,Would you be okay with that?,,Can you repeat this error? What do you do when it happens?,,Can you explain more what exactly you need? Maybe give some examples ?,,Does this issue always reproduce?,,Can you sent Esc to Caps Lock at the same time?,,Can you check you have a cv_bridge_boost.so file in your buidl tree ? Is that target even built ?,,What is the result? Can you not move the cursor to your clients?,,"do you have the NFS mounted on RPI, or you just have defined remote source pointing to NFS in XBMC ?",,"Can you provide repro of your case, or describe the ""stuck somewhere"" in more detail? Does AWS return any specific errors, is something happening with the progress of Evaporate instance?",
networkx_networkx_issues_3416,https://github.com/networkx/networkx/issues/3416,"Hi, How about implementing union by rank for the UnionFind structure instead of union by weight? It has a better asymptotic running time(a tight bound). (With weighted union, there is always a possibility to merge a taller tree to a shorter tree.) Is there any design decision behind this? Thanks!",What does that mean?,,Do you get the same error using pip with a different package? I think it is unlikely to be a networkx problem...,,Can you give a specific case when the function would be stuck in an infinite loop?,,"Could you maybe add a failing test first, so that we can understand what the syntax issue is?",,Would you be interested in contributing the algorithm?,,Can you provide more details?,,Can you give code for a small example?,,Do you encounter this case frequently?,,Can you explain or point me to something that does explain which is better? My understanding is that they are the same.,,"What database are you using? And yes, it supports iteration. The error is in the SQL query.",
