ZOOKEEPER-2,flavio -  while we are at it ... can we improve the documentation with javadocs in FastLeaderElection?
ZOOKEEPER-5,loadOldDataTree maybe?
ZOOKEEPER-6,Andrew could you take a look at this one?
ZOOKEEPER-8,the cnage looks good ..... is it possible to add some tests in the c test code?
ZOOKEEPER-8,pat can you update the patch?
ZOOKEEPER-16,one thing i just realized is that –  is /user/mahadev//test == /user/mahadev/test in Zookeeper?
ZOOKEEPER-16,What do we want it to be?
ZOOKEEPER-16,A NOP (they are equal as in bash) or an error?
ZOOKEEPER-16,what i menat was ... a client doing  get on /user/mahadev/test  and a get on /user/mahadev//test.
ZOOKEEPER-16,Are we validating that the path is not null?
ZOOKEEPER-16,Thoughts?
ZOOKEEPER-16,Can we document that somewhere?
ZOOKEEPER-16,perhaps the internals documentation in forrest?
ZOOKEEPER-17,What do you think?
ZOOKEEPER-17,Does this sufficiently resolve the stated issue?
ZOOKEEPER-19,What is the status of jute?
ZOOKEEPER-19,Is it worth porting this patch?
ZOOKEEPER-19,Or should I just close this issue and wait for a replacement to jute?
ZOOKEEPER-22, Is there progress on this issue?
ZOOKEEPER-22,Any chance you could post a pdf or html version?
ZOOKEEPER-22,"One suggestion, can we make auto retry an option rather than mandatory?"
ZOOKEEPER-22,"Flavio Paiva Junqueira Patrick D. Hunt, should this be marked higher priority and as a bug ?"
ZOOKEEPER-22,For 3.6 perhaps ?
ZOOKEEPER-23,Could we do the release 3.0 with just the multi-threaded library?
ZOOKEEPER-25,Some comments –  1) src/contrib/zkfuse/AUTHORS.txt can we remove this file?
ZOOKEEPER-25,2) src/contrib/zkfuse/ChangeLog   can we remove this file as well?
ZOOKEEPER-29,Would it be possible for you to get rid of the these new configs and use the other configs already existing?
ZOOKEEPER-29,Two comments:  This ticket seems to overlap with ZOOKEEPER-368 to some degree: wouldn't an Observer simply be a server in the quorum that wouldn't get to vote on proposed values?
ZOOKEEPER-29,"flavio,  can you elaborate on what else do you have in mind other than using weights for which the parsing/config interface would be useful?"
ZOOKEEPER-29,some questions on the patch   is it backwards compatible in the sense that if I do not specify groups and weights in the config then it will work as it used to?
ZOOKEEPER-29,also in the example that you mentioned above shouldnt the group size be atleast 5 since you have equal weights and 9 servers?
ZOOKEEPER-29,"also,  why not just have groups and equal weights for first cut?"
ZOOKEEPER-29,wouldnt that suffice for the scenario of co located zookeeper servers?
ZOOKEEPER-29,could you document the configuration of the hierarchical QuorumVerifier?
ZOOKEEPER-29,it would also be good to expand the description in the javadoc at the top of QuorumHierarchical?
ZOOKEEPER-29,"We guarantee that servers have consistent configuration files, right?"
ZOOKEEPER-29,"If you think this is a general issue with initialization, we should perhaps open a different jira and address this problem there?"
ZOOKEEPER-29,> could you document the configuration of the hierarchical QuorumVerifier?
ZOOKEEPER-29,it would also be  > good to expand the description in the javadoc at the top of QuorumHierarchical?
ZOOKEEPER-29,"also this breaks backward comtability with servers, should this go into 4.0?"
ZOOKEEPER-29,or is 3.2 fine?
ZOOKEEPER-29,isnt the sid sent only once so why do we have that in a loop -          break;                 case Leader.SID:                     bb = ByteBuffer.wrap(qp.getData());                     this.sid = bb.getLong();                                          break;     do we expect the followers to keep sending the SID?
ZOOKEEPER-29,Why isnt the SID sent as the first packet when syncing up with the leader as a payload?
