issue_id,issue_link,post,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9,q10,a10
elastic_beats_issues_142,https://github.com/elastic/beats/issues/142,"Hi, Is there a document somewhere (or any information) that highlights the protocol roadmap? We'd like to contribute but don't want to invest time in decoding protocols thats already being developed for internally at Elastic?",Where do you get the CSP from please? Any conformance entity or your own tools?,,"Can you elaborate on what ""is not working"" means?",,"Did you try using it in a project running Django 1.11? I'll have a look on this, but it would be great to know the issues you faced.",,What had been the reasoning? Can't have both?,,Could you tell me the target websocket url and which version of WebSocket4Net do you use?,,Would that work for Rust?,,What error are you getting?,,Could you describe to us what you would want to achieve using CloudEvents and how you would see this fitting into NServiceBus?,,What are you thinking of using it for and why?,V,Which protocols would you be interested in?,V
marytts_marytts_issues_494,https://github.com/marytts/marytts/issues/494,"The POST example is not working at http://mary.dfki.de:59125/documentation.html It seems to generate 2 requests, 1st one is POST but the 2nd one is GET. POST request contains the data but the 2nd GET does not. Same issue persist in my local installation as well. Any advice ?","What is None, and what did you expect instead?",,What makes you think that you have a second request ?,V,What kind of use case would you want to use this for?,,Could you provide a snippet that demonstrates this problem? You can include it in a fenced code block or use gist.github.com if you want to create a document to share.,,"Could you be more specific? It works fine for me, make sure you do a hard refresh on your browser.",V,How can someone replicate the issue?,V,Can you try again on another XenForo installation? Your issue may be related to some conflict with another add-on.,,Does naming the column cause a problem?,,How do you find out that the request is sent twice? I haven't seem this case in 0.8.5.,,How did you get to use post?,
facebook_react_issues_11904,https://github.com/facebook/react/issues/11904,Is there a way of appending components like we [append nodes](https://developer.mozilla.org/pt-BR/docs/Web/API/Node/appendChild): I know that it can be easily handled by state.,Which version of node? libxmljs?,,Does this help? https://facebook.github.io/react/docs/reconciliation.html#recursing-on-children https://facebook.github.io/react/docs/reconciliation.html#keys Should we link to those chapters more prominently?,V,Do you mean [create-react-app](https://github.com/facebookincubator/create-react-app) ?,V,Do you mean the actual license file?,,Can you give an example?,V,Why not update the state and render the item if needed?,,Can you provide code that isn't working for you?,,What is your use case?,V,Can you give more information about what you mean?,V,Why did you close the issue?,
TestStack_TestStack.Seleno_issues_251,https://github.com/TestStack/TestStack.Seleno/issues/251,"Hi, Can I get the text of a Telerik report generated in a link by selenuim webdriver c#? I just want to verify in Assertion that the report contains a string, Thanks.",What does this have to do with Resurrect Pages?,,Could you paste the response body? Please sanitise if there's anything sensitive.,,What problem are you trying to solve?,V,Does your device support feature reports?,,Does that meet your needs?,,Do - https://fontawesome.com/icons/chart-bar?style=solid - https://fontawesome.com/icons/signal?style=solid - https://jsfiddle.net/tagliala/ydq3jrne/54/ fit your needs? Could this be considered a duplicate of #1076?,,"What are ""some items displayed""? Can we see the report or screenshot?",,Why are you looking to remove it?,,Does this have anything to do with REST Assured?,,"Can you provide which packages are marked incorrectly, and how they are marked?",
PDAL_PDAL_issues_1507,https://github.com/PDAL/PDAL/issues/1507,Hi! Trying to compile on Ubuntu 14.04 and this happens. Any ideas? Thanks!,What version of Quantlib do you use?,,Can you check whether making that change helps?,V,Can you please check the version of Python installed on your system?,V,What is your OS?,,Can you confirm there's an iframe in your HTML?,,Do you know what version you were using before?,V,Does it happen on all STL files? Or one in particular? Can you share an example file where you observe this?,,What version of Tup are you running?,,"Can you replace all the ""install -pd"" by ""install -d"" in the Makefile and see if everything else works ?",,"Maybe it was a non-permanent connectivity issue inbetween our servers, can you re-check? In doubt downloading and dpkg -i'ing the file from the above link should also work.",
influxdata_influxdb_issues_1846,https://github.com/influxdata/influxdb/issues/1846,"Hi, I faced the following issue on 0.9.0-rc7 at x86 arch.",Which version are you on? Do you query via HTTP API? Or are you using a 3d client?,,What's the current way to install this on OSX if the homebrew formula is broken? I'm wanting to try it out for a new project.,,Do you have a script that I can run locally ?,V,What do you mean by Top N ? Did you mean last/first N in a given time range.,,What network/location are you accessing it from? Can you provide a way to reproduce i.e. http://www.webpagetest.org/?,,Can you provide more information ?,V,Can you explain what do you mean in more details ?,V,Can you recreate the issue locally?,,Did you follow the build instructions in the README?,V,Can you try upgrading to 0.9.4.2?,V
0ldsk00l_nestopia_issues_255,https://github.com/0ldsk00l/nestopia/issues/255,http://forums.nesdev.com/viewtopic.php?f=3&t=16507,Which NES core? Which game?,V,Which version of Windows?,,Which cfg is it? An autoexec.cfg?,,What model of Raspberry Pi are you using where this issue is exhibited?,,What support do you need? I am not able to test on native Linux.,,Does putter golf have sound?,V,Do you know hoe this people have updated?,,Can you please clarify how to reproduce the problem and what the problem actually is? Is the SRAM not working or something?,,What client version are you using that creates all these conflicts?,,"Can you provide a simple test app that causes the hang? It may be easier to debug using something based on hello_audio, or command line omxplayer.",
adobe-fonts_source-sans-pro_issues_154,https://github.com/adobe-fonts/source-sans-pro/issues/154,"The title already tells the whole story: Letters 'i' and 'j' miss dots in the resulting PDF which is exported from MS Word 2016 with the built-in save as functionality. - Downgrade to release 2.020 works - Release 2.040 works using Adobe Acrobat PDF generation Cheers, llvs",Could you please attach such a PDF to this issue? Thank you.,V,Why is error in aat-lookup.h though?,,Can you please give more details? Operating system? Font version? Font format?,,What software are you using for layout? Perhaps I can give you some guidance if you tell me what you are working with. P,,Does that solve your problem?,,How does it fall?,,Could you change your css to use the assets helper and report back if is still an issue? Thanks,,What errors are you seeing?,V,Do you know how to change it?,,Did you find any solution?,
twbs_bootstrap-sass_issues_829,https://github.com/twbs/bootstrap-sass/issues/829,"Works on 3.3.1, not on 3.3.2 or 3.3.3. Clicking on the drop down does nothing. Regular <li> menu items work.",Can you share the model file?,V,Can you tell me what browser you're seeing this in? I don't see it right now.,V,Could you please create a sample application demonstrating the problem and a js-fiddle using the same jQuery UI version from the official source that works properly?,,What OS and browser are you using?,V,What is not working?,,Do you have a URL I can look at to investigate?,,Do you want to contribute this feature ?,,Can you let us know if you find any solution to this? Thanks.,,What version of Composer?,,Do you see errors in debug console? May be more likely a bug in firefox or bootstrap than yii.,V
obfuscurity_synthesize_issues_30,https://github.com/obfuscurity/synthesize/issues/30,Installation was failings as `pip` could not download required software due to cacert. Looks like pip does support `--cert` option. Can we add optional parameter to specify path to local CA bundles,"Can you provide the error message that resulted, and did you test this on an instance created with a custom AMI made in the last 6 months?",,Could you post the exact steps that caused your error?,V,Can you elaborate on this?,V,How would you know about the dependencies?,,Why do you think pywinauto depends on SendKeys?,,Do you know how I can claim ownership of my project on PyPI?,,Does this not do what you want? http://eclim.org/vim/core/locate.html,,Which version of Python are you running into the error with? I'm guessing it varies between 2 & 3,,What version are you using?,V,What command line did you use to create it?,
