issue_id,issue_link,post,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9,q10,a10
restfb_restfb_issues_823,https://github.com/restfb/restfb/issues/823,"I'm used to search for pages containing a keyword using : `Connection<Page> targetedSearch = appFBclient.fetchConnection(""search"", Page.class, Parameter.with(""q"", keyword), Parameter.with(""type"", ""page""), Parameter.with(""fields"", ""id,description"") );` It also works the same way for places : `Connection<Place> targetedSearch = appFBclient.fetchConnection(""search"", Place.class, Parameter.with(""q"", keyword), Parameter.with(""type"", ""place"") );` I tried to do the same for groups search : `Connection<Group> targetedSearch = appFBclient.fetchConnection(""search"", Group.class, Parameter.with(""q"", keyword), Parameter.with(""type"", ""group""), Parameter.with(""fields"", ""id"") );` It reports the following error, on the fetchConnection line : Am i doing something wrong ? Do I need some specific permission to list groups ? Am i so blind that I can't see the mistake in my code? Or is there a bug in the rest API? (note: the requests is OK in the facebook graph explorer)",Do you use a access token to generate the appFBclient? Did you check that access token in the access token debugger?,V,"What you have should work, what does your response from elasticsearch look like?",,Can you provide the JSON returned for this call? Thanks,,what server integration are you using? boolean default values should be supported on all wordnik-supported integrations,,can you tell which query parser you are using on the count?,,Can I ask you to ask your question there again? Somebody will be able to help.,,"Which kind of response do you want? The issue is open, it will be closed once it's done.",,What is the motivation for this feature request?,,Do you think this could be explained better in the documentation?,V,Can't you just store it in a variable?,V
loomio_loomio_issues_4723,https://github.com/loomio/loomio/issues/4723,"Good day, about the enhancement of the project. I am willing to submit my design for logo and icon. and also, making your github repo prettier.","Can you clear your local storage, your indexed DB and see if it's better?",,Where can we see it?,V,Should we put the ai file in git or something? (Feels dodgy having the only copy being on dropbox) Could convert it to an svg too to make it smaller.,,What kind of exe file are we talking about?,,"Would it help if the text said ""your logo goes here""?",,Would you be happy to contribute your designs under the AGPL?,V,Do you mean the custom icon in Flatland project or the default Sublime Text icon?,,Can you provide a corrected link?,,Where does it point?,,Does that work for you?,
BuildCraft_BuildCraft_issues_3362,https://github.com/BuildCraft/BuildCraft/issues/3362,"A player on our server put a BC builder together and now anyone who gets near the area consistently times out, and the serverside logs show nothing of importance except that the player ""disconnected""",Could you send me the blueprint file? Is anything else output in the console?,,did it show a mining well as requirement?,,"Do the clients have any information (crashes, errors or other problems) in their logs?",V,"What BC, MC and forge versions are you using? Also do you have any mods that change rendering (like optifine or similar)?",,Can you upload your full log file? That might contain more information about what's going on,,"Can you upload the crash report (of the server if it's running on a server, or the client if it's a singleplayer world)?",V,"What were you doing? Based on the place where the index error happened it looks like the ""roguelike"" command was being called with no arguments.",,Maybe not a spigot server?,V,Does it also happen on SpongeVanilla?,,Could you try reproducing on BC 7.0.4?,V
quicklisp_quicklisp-projects_issues_424,https://github.com/quicklisp/quicklisp-projects/issues/424,"http://www.nicklevine.org/cl-log/cl-log-latest.tar.gz New version 1.0.1 Thanks, - nick",How does it differ?,V,Does this project relate to http://clstringmatch.sourceforge.net/ which is already in Quicklisp? Is it the same thing?,V,Can you make a new archive with normal permissions?,,Does anyone have any recommendations on dealing with unix-sockets while running on windows?,,What is libpuzzle? What is the library for?,,Do you have any projects that use CL-CREATE instead of make-instance? Could I see the code to see how it looks?,,What's the license? Is there a description of what this software does?,,How did you install node 0.6?,,Does it work properly?,,"What does ""1.10 is broken"" mean?",
MrRio_jsPDF_issues_2234,https://github.com/MrRio/jsPDF/issues/2234,"I believe text() function align isn't working, using the latest 1.5.3? https://jsfiddle.net/sxnz9654/ I have looked at the documentation, searched and tried older methods without any luck. So I assume there is a bug? This is the format I'm using Do you have a working sample/playground?",can you have a JSFiddle with your issue?,V,Which version of Whoosh are you using?,,What do you mean by is not working? We are using it in several places in editor and it works fine.,V,What are the versions of your devices and browsers?,V,What do you expect?,,What version of NetBSD?,,Could you please provide more details?,V,Can you provide some live example code that we can test this with?,V,Could you report the browser and the version which you tested on?,V,Do you think you could update to the meteor1.0 version first?,
yiisoft_yii_issues_1167,https://github.com/yiisoft/yii/issues/1167,- CComponent::evaluateExpression() (function_exists) trigger autoloading - PHP Version: 5.3.8,Could you explain this more? I'm not sure what you mean.,V,Could you both provide a complete stack trace of the error?,V,How to reproduce it?,V,What do you plan using it for? What's your case?,V,What's the expression that triggers autoloading?,V,Can you show us the full file? I can't replicate this with the code you've provided. Also what exact version of Laravel 5.5 are you using?,V,What's the issue? This is a pretty standard technique in Symfony.,,"What OS? if you are using unix OSs, are you using bundle or pathogen plugin?",,What issue do you have?,V,Can you make a PR?,
cgeo_cgeo_issues_5938,https://github.com/cgeo/cgeo/issues/5938,Any chanse of adding Czech opencaching site to c:geo services? http://opencaching.cz,Can you please give a specific geo code of a cache where you noticed that? I like debugging by example. :),V,Do you have any relations/contacts to opencaching.cz? Do you know whether the actually want us to integrate with them?,V,How are CZECH releases released? We'll need some example release and file names.,,What is Geoget ?,V,What version of c:geo are you using and with what event cache did you try?,V,Can you give us a sample GPX which does not work?,V,Which version of pootle are you running?,,"What if there are multiple namespaces defined in the dataset or even no namespaces, which impossible if a dataset is split into multiple files ?",,"Can you explain this a bit more? The compass shows the distance, the direction, your current coordinates and north. What do you want more?",V,"Do you have ""follow me"" (blue dot) active before switching display off?",
translate_pootle_issues_3668,https://github.com/translate/pootle/issues/3668,"I tried to upload a .csv today. Basically this CSV is 55.7MB with almost 715000 lines. I tried to split the file in multiple files with 100000 lines each one, same way i get internal error and ""Premature end of script headers: wsgi.py, referer: http://my.website.com/it/project/""- So i want to ask, what is the optimal csv file size to load on the server? with how many lines? If i need to load more than 700K lines, how do i do?",What file format do you use? Maybe it's same as #460.,,What are you using CSV for?,V,Can you paste your log in here?,,"However, I'm curious why this line ended up in there in the first place, is this a problem at a different step of concoct? Thanks!",,"Can you please check at the reported lines for any obvious problem? If not, please share the XLIFF file with us.",,Can you maybe share these duplicate units as a start?,V,Which version of pootle are you running?,V,Did you find a solution to this problem? I am trying to do the same thing and can't figure out how.,,Which version of Python? We'll need more info on this issue.,V,Can you create a sample CSV to show what it should look like?,V
gotwarlost_istanbul_issues_56,https://github.com/gotwarlost/istanbul/issues/56,"Hi, I've found some odd behaviour in generating the reports. Text and Text-Summary work perfectly. Running result set over text-summary: Same for HTML : Have you seen anything like this before? The only way I could get around this, and the coverage data still looks correct, is by updating the specific html.js file to handle no `metaData` attribute: Updating the `html.js` file from this (line 246): to this: (Haven't done it in a pull request, as i really have no idea if its a valid bug or not) Cheers, Tom",Could someone help please? Thanks,,Maybe try with pandoc ? a html to markdown converter,,Did you read #66?,,"Do you think you could show a jsbin of what you're trying, and maybe a picture or something of the effect you're looking for?",V,Can you provide some sample application code that highlights the specific problem?,,Could you post your question into [mailing list](https://groups.google.com/forum/?fromgroups#!forum/fluentd) or [community slack](http://slack.fluentd.org/)? Thanks.,,Can you please tell why you need to change content of style tag dynamically?,,Would it be possible for you to share the coverage.json file? I would like to see why invalid objects seem to be created by the instrumenter.,V,Can you provide a minimal example of code/command which causes the issue please?,V,"Could you provide an example of input, actual output, and expected output?",V
darold_pgbadger_issues_432,https://github.com/darold/pgbadger/issues/432,For custom log_line prefix: Looks like in log file: No stats are reported (no dataset) in html report,"which OS? could you show us the steps, how you installed FreeTDS ? it fails on looking for tdsdbopen in sybdb, have a look at mkmf.log",,Could you describe a use case where this would be useful?,V,"Do you know which versions of SQL Server have the LOG(float) function? (so don't have the LOG(float, base) function) Then we can aggregate all our findings here and resolve it.",V,Do you have any command line error message ?,,Can you please share the script ?,,Which version of PostgreSQL? With pg 10 I have the following ![checkpoint-distance](https://user-images.githubusercontent.com/538862/45001114-b33a5800-afca-11e8-8050-3061252e84bb.png),V,how about changing binding port to another?,V,What tool generated this kind of line?,,What pgbadger version are you using ?,V,"Does these configuration directives are really enabled in your postgresql.conf? Regards,",V
