repo,issue_link,issue_id,post,question,answer
qgis/QGIS,https://github.com/qgis/QGIS/issues/32641,qgis_QGIS_issues_32641,"QGIS Server WFS3 items page link issues

ping @elpaso How to reproduce: - Go to WFS3 items page for a layer, e.g. ``world`` layer in the qgis server vagrant machine - On the ``http://localhost:8080/project/helloworld/wfs3/collections/world/items`` page.. the links for every item are not correctly generated Meaning: * Wrong: ``http://localhost:8080/project/helloworld/wfs3/collections/world/item/0?`` it should be ``items`` in the link * Correct: ``http://localhost:8080/project/helloworld/wfs3/collections/world/items/0?`` Tried fixing it myself but the fix eluded me.",Can you add a failing test case somewhere near https://github.com/qgis/QGIS/blob/master/tests/src/python/test_qgsserver_api.py#L422 ?,@elpaso Will try and thanks for looking into this! You can reproduce it if you replace in your url ``items.html`` with ``items``. If I add the ``.html`` part it works for me also.
qgis/QGIS,https://github.com/qgis/QGIS/issues/30552,qgis_QGIS_issues_30552,"QGIS Server WMTS GetCapabilities returns no layers and no grids

### QGIS Server WMTS GetCapabilities The WMTS GetCapabilities request does not contain any layers or grids. `<Contents/>`is empty. Layers are checked in the project settings. ![Captura de ecrã de 2019-07-04 13-12-36](https://user-images.githubusercontent.com/163681/60665824-70047c00-9e5d-11e9-9d67-a7a4a399df20.png) **Describe the bug** The WMTS GetCapabilities should return the list of layers and the corresponding grids.  **QGIS and OS versions** 1. Project created with QGIS 3.8. 2. qgis-server 1:3.8.0+28bionic",Do you have WMS CRS restriction in your configuration ?,"Thanks for the feedback @rldhont How do I do that? I'm using EPSG:3857 in the project. Should I define this elsewhere in the QGIS Server options? No, no restrictions defined. The project is configured with all default options. Afterwards and went back and checked the layers in the WMTS section, to see if it was necessary to have layers on the WMTS GetCapabilities output."
qgis/QGIS,https://github.com/qgis/QGIS/issues/34025,qgis_QGIS_issues_34025,"DB Manager no longer works with pqlib services

<!-- Bug fixing and feature development is a community responsibility, and not the responsibility of the QGIS project alone. If this bug report or feature request is high-priority for you, we suggest engaging a QGIS developer or support organisation and financially sponsoring a fix Checklist before submitting - [ ] Search through existing issue reports and gis.stackexchange.com to check whether the issue already exists - [ ] Test with a [clean new user profile](https://docs.qgis.org/testing/en/docs/user_manual/introduction/qgis_configuration.html?highlight=profile#working-with-user-profiles). - [ ] Create a light and self-contained sample dataset and project file which demonstrates the issue If the issue concerns a **third party plugin**, then it **cannot** be fixed by the QGIS team. Please raise your issue in the dedicated bug tracker for that specific plugin (as listed in the plugin's description). --> **Describe the bug** <!-- A clear and concise description of what the bug is. --> **How to Reproduce** 1. Go to DB Manager 2. Click on PostGIS connections 3. Scroll down to one connection defined using services 4. Open it 5. You will be prompted with a dialogue to enter credentials ![Screenshot from 2020-01-25 16-42-23](https://user-images.githubusercontent.com/163681/73124298-bfdd9880-3f91-11ea-9afc-536df7659ee5.png) **QGIS and OS versions** This happens on master only. I suspect that it is related with #33225, but I'm not sure. Can someone else confirm this on master? Compiling with a version prior to #33225 it works.",Does your problem also show up outside of DBManager @jgrocha ?,"Thanks @strk for looking into this. If I try to open a service based connection, I get this error: ![error connecting using db manager](https://user-images.githubusercontent.com/163681/73547181-57316880-4436-11ea-9571-561e3bc9805b.png) The error makes sense. **I don't have any connection with a service named `qgis_test`.** The DB Manager is not using the service name I have configured. This is my list of connections (all configured with services): ![connections](https://user-images.githubusercontent.com/163681/73547439-d9ba2800-4436-11ea-84f1-b55dc8fd124b.png) If I try to connect to any of these, the error is always the same."
qgis/QGIS,https://github.com/qgis/QGIS/issues/32147,qgis_QGIS_issues_32147,"Clearing filter clears the selection for a feature

<!-- Bug fixing and feature development is a community responsibility, and not the responsibility of the QGIS project alone. If this bug report or feature request is high-priority for you, we suggest engaging a QGIS developer or support organisation and financially sponsoring a fix Checklist before submitting - [ ] Search through existing issue reports and gis.stackexchange.com to check whether the issue already exists - [ ] Test with a [clean new user profile](https://docs.qgis.org/testing/en/docs/user_manual/introduction/qgis_configuration.html?highlight=profile#working-with-user-profiles). - [ ] Create a light and self-contained sample dataset and project file which demonstrates the issue If the issue concerns a **third party plugin**, then it **cannot** be fixed by the QGIS team. Please raise your issue in the dedicated bug tracker for that specific plugin (as listed in the plugin's description). --> **Describe the bug** I have a polygon layer that I have filtered to show one feature. ![Screenshot 2019-10-07 at 12 33 52](https://user-images.githubusercontent.com/2510900/66305021-c1118980-e8fe-11e9-8c2d-11caba8e387c.png) I then proceed to select the feature using the visual selection tool ![Screenshot 2019-10-07 at 12 34 44](https://user-images.githubusercontent.com/2510900/66305076-ddadc180-e8fe-11e9-96cc-41feb64f70ee.png) I then return to clear the filter which in turn clears the selection ![Screenshot 2019-10-07 at 12 35 43](https://user-images.githubusercontent.com/2510900/66305158-03d36180-e8ff-11e9-8764-a26e733f6194.png) After clearing the selection I see that the feature is no longer selected ![Screenshot 2019-10-07 at 12 36 31](https://user-images.githubusercontent.com/2510900/66305205-1ea5d600-e8ff-11e9-944e-301962c8226d.png) **PS:** I know there is a better workaround for solving this issue **QGIS and OS versions** ![Screenshot 2019-10-07 at 12 37 28](https://user-images.githubusercontent.com/2510900/66305281-439a4900-e8ff-11e9-9693-89bf17600f7d.png)",What are you suggesting? A special logic for filter cleared instead of the generic filter-changed behavior?,"Yes, or maybe just a message to notify a user that clearing the filter will also clear the selection."
qgis/QGIS,https://github.com/qgis/QGIS/issues/32615,qgis_QGIS_issues_32615,"Broken UI when loading layers through the Datasource Manager

# Problem I am just trying to load a layer using the Datasource manager and I experience a weird behavior with the UI. Broken UI ![broken-ui](https://user-images.githubusercontent.com/2510900/68102262-8d645800-feda-11e9-9e25-1e7180b2712d.png) ![broken_ui](https://user-images.githubusercontent.com/2510900/68102275-99501a00-feda-11e9-829c-6049dc927f76.png) ![save-1](https://user-images.githubusercontent.com/2510900/68102612-39f30980-fedc-11e9-8500-91a7c4dfc896.gif) ![os](https://user-images.githubusercontent.com/2510900/68102645-5727d800-fedc-11e9-909a-82e155aa60a6.png)",May be we need the same solution I applied here? https://github.com/qgis/QGIS/pull/31665 Does it look a similar issue?,yes @elpaso it looks like similar issue
qgis/QGIS,https://github.com/qgis/QGIS/issues/30041,qgis_QGIS_issues_30041,"Unable to add new features in QGIS for PostGIS table using sequence for gid. Data type serial: 'integer overflow'

PostGIS 2.2 USE_GEOS=1 USE_PROJ=1 USE_STATS=1 Postgres PostgreSQL 9.5.4, compiled by Visual C++ build 1800, 64-bit QGIS 2.18 Las Palmas  In QGIS I added the PostGIS - layer ""myschema.mytable"" and tried to save a new object. Following message appears: ""Konnte Änderungen am Layer mytable nicht festschreiben Fehler: FEHLER: Ein Objekt nicht hinzugefügt. Datenanbieterfehler: PostGIS-Fehler beim Attributhinzufügen: FEHLER: NULL-Wert in Spalte »gid« verletzt Not-Null-Constraint DETAIL: Fehlgeschlagene Zeile enthält (null, 0102000020E8640000020000004DAC4DB4A84918414C986446399155416E8719...)."" ""Could not commit changes on layer mytable Error: ERROR: One object is not added. Data provider error: PostGIS-Error on add attribute: ERROR: NULL- value in column »gid« is not permitted as an input because of Not-Null-Constraint DETAIL: Failed row contains (null, 0102000020E8640000020000004DAC4DB4A84918414C986446399155416E8719...)."" In QGIS should be the default for column 'gid': nextval('myschema.mytable_gid_seq'::regclass) Instead the default for column 'gid' is 'NULL'. To reproduce the error select on PostGIS: `SELECT 'myschema.mytable'::regclass::oid;` If the result is bigger than the maximum integer - value 2147483647 it is not possible to use data type 'serial' in QGIS to add a new object. But in PostGIS I can add objects if the value of column ""gid"" is of data type 'serial' and the result is bigger than 2147483647 because PostGIS has no ""integer overflow"". (Please refer to https://github.com/qgis/QGIS/issues/29489, https://issues.qgis.org/issues/21673) I think QGIS can't handle sequences after integer overflow. Is it possible to change the data type of regclass::oid from 'integer' into 'biginteger' in QGIS??","Do you use QGIS 2.18 Las Palmas ? This version is not supported anymore. If so, please update to QGIS 3.x. Thanks",I have one thing to add: it is the same behaviour with QGIS 3.x
qgis/QGIS,https://github.com/qgis/QGIS/issues/33614,qgis_QGIS_issues_33614,"QgsCoordinateReferenceSystem.fromWkt fails with e.g. GLanCE data record WKTs

**Problem** `QgsCoordinateReferenceSystem.fromWkt() ` fails to import some CRS WKTs which otherwise are recognized correctly by GDAL and can be imported via `QgsCoordinateReferenceSystem.fromProj4(gdalSRS.ExportToProj4())`. In consequence, QGIS shows a ""Layer has not coordinate reference system set"" error, e.g. for raster data sets that are projected in one of the 7 continental NASA GLANCE (see background below) projection systems. **How to reproduct** This example shows how `QgsCoordinateReferenceSystem.fromWkt()` fails to import the GLANCE LAEA projection WKT for South America. A unit test (`test_glance_wkts.py`), WKT definitions of the mentioned GLANCE CRS and a raster quality flag image projected in GLANCE_GRIDS_V01_SA_CRS (`20140803_LEVEL2_LND07_QAI.tif`) are appended [crs_glance.zip](https://github.com/qgis/QGIS/files/4023839/crs_glance.zip):  **Background** The NASA Global Land Cover mapping and Estimation (GLanCE) project defines 7 continental coordinate reference systems that are used for raster data records of global land cover, land use and land cover change at 30m resolution. Project details can be found at http://sites.bu.edu/measures/ The following CRS WKTs are take from https://github.com/measures-glance/glance-grids/tree/master/data/crs_wkt Name | WKT ------|---- GLANCE_GRIDS_V01_AF_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - AF - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",20],PARAMETER[""latitude_of_center"",5],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_AN_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - AN - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",0],PARAMETER[""latitude_of_center"",-90],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_AS_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - AS - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",100],PARAMETER[""latitude_of_center"",45],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_EU_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - EU - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",20],PARAMETER[""latitude_of_center"",55],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_NA_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - NA - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",-100],PARAMETER[""latitude_of_center"",50],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_OC_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - OC - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",135],PARAMETER[""latitude_of_center"",-15],UNIT[""meter"",1.0]] GLANCE_GRIDS_V01_SA_CRS.wkt | PROJCS[""BU MEaSUREs Lambert Azimuthal Equal Area - SA - V01"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""degree"",0.0174532925199433]],PROJECTION[""Lambert_Azimuthal_Equal_Area""],PARAMETER[""false_easting"",0.0],PARAMETER[""false_northing"",0.0],PARAMETER[""longitude_of_center"",-60],PARAMETER[""latitude_of_center"",-15],UNIT[""meter"",1.0]]",Which proj library version are you using? (Check from the about screen),"I am using Proj 6.2.1. Maybe it's a Windows problem? Component | Version ------------|------------- QGIS version | 3.10.1-A Coruña QGIS code revision | ef24c526da Compiled against Qt | 5.11.2 Running against Qt |5.11.2 Compiled against GDAL/OGR | 3.0.2 Running against GDAL/OGR | 3.0.2 Compiled against GEOS | 3.8.0-CAPI-1.13.1 Running against GEOS | 3.8.0-CAPI-1.13.1 Compiled against SQLite | 3.29.0 Running against SQLite | 3.29.0 PostgreSQL Client Version | 11.5 SpatiaLite Version | 4.3.0 QWT Version | 6.1.3 QScintilla2 Version | 2.10.8 Compiled against PROJ | 6.2.1 Running against PROJ | Rel. 6.2.1, November 1st, 2019 OS Version | Windows 10 (10.0) Active python plugins | db_manager; processing"
qgis/QGIS,https://github.com/qgis/QGIS/issues/30065,qgis_QGIS_issues_30065,"Qt Designer with QGIS 3.4.8 custom widgets crashes when QWebEngineView is clicked

Hi! I have a issue with Qt Designer installed with QGis 3.4.8 (Standalone). When try to use QWebEngineWidget to make a custom form, Qt Designer just close. S.O: windows 7 Professional QGIS: 3.4.8",Would you be able to test current master? This bug may have been recently fixed by @nyalldawson,"@elpaso Using S.O windows i can't, in the company we use only LTR versions, but testing this on Debian (qgis3.4) it works fine."
qgis/QGIS,https://github.com/qgis/QGIS/issues/33795,qgis_QGIS_issues_33795,"Control Feature Renderin order not working with atlas

**Describe the bug** I set a layer ""Control Feature Rendering Order"" to render ""@atlas_feature"" first but its not working **How to Reproduce** 1. make a point layer, some points must be near each other. 2. Right click on layer > Symbology check control rendering order and set to @atlas_feature and nulls handling as ""Nulls Last"" 3. Create a print layout and set the layer as coverage layer 4. activate the preview and navigate between the features. **QGIS and OS versions** QGIS version | 3.10.1-A Coruña S.O.: Debian Buster **Additional context** ![image](https://user-images.githubusercontent.com/24795382/72369775-9003da80-36df-11ea-8062-d12d1f08a8f8.png)",Don't you want to render it last so it overlap the others instead of first where it will be buried?,"Yess.... Em ter, 14 de jan de 2020 19:46, Alex <notifications@github.com> escreveu:"
qgis/QGIS,https://github.com/qgis/QGIS/issues/30787,qgis_QGIS_issues_30787,"DB manager cannot load anymore a PostGIS layer that is not registered in the geometry_columns table

In DB Manager run a ""create table"" query without doing the casting for the geometry, i.e. CREATE TABLE test as SELECT row_number() over () as gid, a.gid AS id, b.gid AS id2, ST_MakeLine(a.geom, b.geom) AS geom FROM points1 a, points2 b In QGIS 2.18: as there was no casting the table/layer is shown (just) with a ""?"" icon, but it *can* be loaded in the QGIS project. ![Screenshot_20190718_100819](https://user-images.githubusercontent.com/1951107/61445030-7528f700-a944-11e9-94d2-60c8c2402b6a.png) In QGIS 3 (tested master): the table/layer is shown multiple times: with the ""?"" icon as also with the icons for points, lines and polygons (but of course the real geometry is only one of them). Moreover trying to add the layer in the project it returns an error. ![Screenshot_20190718_101409](https://user-images.githubusercontent.com/1951107/61445183-cc2ecc00-a944-11e9-817a-7f494f0e8391.png)",What happens if you load one of the entries with a geometry type icon? Cc @olivierdalang,"@m-kuhn it only works if you choose (or guess) the correct geometry type. From a user point of view is a clear step backwards: for tables not registered in the geometry_columns table the correct behavior is the one we had in 2.18: show the layer/table with the ""?"" icon and allow to add it to the project (as they layer/table has really nothing wrong other than not being created doing the geometry casting in the query)."
