,mrr,p_1,p_3,p_5
0,0.14285714285714285,0.0,0.0,0.0
1,0.25,0.0,0.0,0.2
2,1.0,1.0,0.6666666666666666,0.6
3,0.5,0.0,0.3333333333333333,0.2
4,0.5,0.0,0.3333333333333333,0.4
5,1.0,1.0,0.3333333333333333,0.4
6,0.5,0.0,0.3333333333333333,0.2
7,0.16666666666666666,0.0,0.0,0.0
8,0.5,0.0,0.3333333333333333,0.4
9,0.1111111111111111,0.0,0.0,0.0
10,0.5,0.0,0.3333333333333333,0.2
11,0.3333333333333333,0.0,0.3333333333333333,0.4
12,0.5,0.0,0.3333333333333333,0.4
13,1.0,1.0,0.3333333333333333,0.4
14,1.0,1.0,0.6666666666666666,0.6
15,1.0,1.0,1.0,0.8
16,1.0,1.0,0.6666666666666666,0.4
17,0.5,0.0,0.3333333333333333,0.4
18,0.16666666666666666,0.0,0.0,0.0
19,0.5,0.0,0.3333333333333333,0.4
20,1.0,1.0,0.6666666666666666,0.6
21,0.3333333333333333,0.0,0.3333333333333333,0.4
22,1.0,1.0,0.3333333333333333,0.4
23,0.5,0.0,0.3333333333333333,0.2
24,0.125,0.0,0.0,0.0
25,1.0,1.0,0.6666666666666666,0.6
26,1.0,1.0,0.6666666666666666,0.4
27,0.3333333333333333,0.0,0.3333333333333333,0.4
28,1.0,1.0,0.6666666666666666,0.6
29,1.0,1.0,0.3333333333333333,0.4
30,0.5,0.0,0.3333333333333333,0.2
31,1.0,1.0,1.0,0.8
32,1.0,1.0,0.3333333333333333,0.4
33,1.0,1.0,0.6666666666666666,0.4
34,0.25,0.0,0.0,0.2
35,0.3333333333333333,0.0,0.3333333333333333,0.4
36,0.3333333333333333,0.0,0.3333333333333333,0.2
37,1.0,1.0,0.6666666666666666,0.4
38,0.16666666666666666,0.0,0.0,0.0
39,0.5,0.0,0.3333333333333333,0.4
40,1.0,1.0,0.6666666666666666,0.6
41,0.25,0.0,0.0,0.2
42,1.0,1.0,0.3333333333333333,0.2
43,1.0,1.0,0.3333333333333333,0.2
44,0.25,0.0,0.0,0.2
45,1.0,1.0,0.6666666666666666,0.6
46,0.125,0.0,0.0,0.0
47,1.0,1.0,0.6666666666666666,0.8
48,0.1111111111111111,0.0,0.0,0.0
49,1.0,1.0,1.0,0.8
50,1.0,1.0,1.0,0.8
51,0.5,0.0,0.3333333333333333,0.4
52,0.3333333333333333,0.0,0.3333333333333333,0.6
53,1.0,1.0,0.3333333333333333,0.2
54,1.0,1.0,0.3333333333333333,0.4
55,1.0,1.0,0.6666666666666666,0.6
56,1.0,1.0,0.6666666666666666,0.4
57,0.5,0.0,0.3333333333333333,0.4
58,1.0,1.0,0.3333333333333333,0.4
59,0.25,0.0,0.0,0.4
60,0.14285714285714285,0.0,0.0,0.0
61,1.0,1.0,1.0,0.8
62,0.5,0.0,0.6666666666666666,0.4
63,1.0,1.0,0.3333333333333333,0.4
64,1.0,1.0,0.6666666666666666,0.6
65,0.3333333333333333,0.0,0.3333333333333333,0.2
66,0.25,0.0,0.0,0.2
67,0.14285714285714285,0.0,0.0,0.0
68,1.0,1.0,1.0,0.8
69,0.3333333333333333,0.0,0.3333333333333333,0.6
70,1.0,1.0,0.6666666666666666,0.4
71,0.25,0.0,0.0,0.2
72,1.0,1.0,0.6666666666666666,0.4
73,0.5,0.0,0.3333333333333333,0.2
74,1.0,1.0,0.6666666666666666,0.4
75,0.3333333333333333,0.0,0.3333333333333333,0.4
76,0.5,0.0,0.6666666666666666,0.6
77,0.25,0.0,0.0,0.2
78,0.1111111111111111,0.0,0.0,0.0
79,0.5,0.0,0.3333333333333333,0.2
80,1.0,1.0,1.0,0.8
81,0.3333333333333333,0.0,0.3333333333333333,0.4
82,1.0,1.0,0.3333333333333333,0.4
83,1.0,1.0,0.6666666666666666,0.6
84,1.0,1.0,1.0,0.6
85,0.5,0.0,0.3333333333333333,0.6
86,1.0,1.0,0.3333333333333333,0.2
87,0.1,0.0,0.0,0.0
88,1.0,1.0,0.6666666666666666,0.6
89,1.0,1.0,0.6666666666666666,0.4
90,0.16666666666666666,0.0,0.0,0.0
91,0.25,0.0,0.0,0.2
92,0.5,0.0,0.3333333333333333,0.4
93,1.0,1.0,1.0,0.6
