,mrr,p_1,p_3,p_5
0,0.1,0.0,0.0,0.0
1,1.0,1.0,0.3333333333333333,0.2
2,0.25,0.0,0.0,0.2
3,1.0,1.0,0.3333333333333333,0.2
4,0.2,0.0,0.0,0.2
5,0.5,0.0,0.3333333333333333,0.4
6,0.2,0.0,0.0,0.2
7,0.5,0.0,0.3333333333333333,0.4
8,1.0,1.0,0.6666666666666666,0.6
9,1.0,1.0,0.6666666666666666,0.4
10,0.2,0.0,0.0,0.2
11,1.0,1.0,0.6666666666666666,0.6
12,0.3333333333333333,0.0,0.3333333333333333,0.2
13,1.0,1.0,1.0,0.6
14,1.0,1.0,0.6666666666666666,0.8
15,0.3333333333333333,0.0,0.3333333333333333,0.6
16,0.14285714285714285,0.0,0.0,0.0
17,0.2,0.0,0.0,0.2
18,1.0,1.0,0.3333333333333333,0.2
19,0.5,0.0,0.6666666666666666,0.4
20,0.5,0.0,0.3333333333333333,0.6
21,0.5,0.0,0.3333333333333333,0.4
22,0.2,0.0,0.0,0.2
23,0.25,0.0,0.0,0.2
24,0.5,0.0,0.3333333333333333,0.2
25,0.5,0.0,0.3333333333333333,0.4
26,0.5,0.0,0.6666666666666666,0.6
27,0.2,0.0,0.0,0.2
28,1.0,1.0,0.6666666666666666,0.6
29,0.5,0.0,0.3333333333333333,0.4
30,0.125,0.0,0.0,0.0
31,1.0,1.0,0.6666666666666666,0.6
32,1.0,1.0,0.6666666666666666,0.6
33,1.0,1.0,0.6666666666666666,0.4
34,0.5,0.0,0.3333333333333333,0.2
35,1.0,1.0,0.6666666666666666,0.4
36,0.5,0.0,0.3333333333333333,0.2
37,0.25,0.0,0.0,0.2
38,1.0,1.0,0.3333333333333333,0.2
39,1.0,1.0,0.6666666666666666,0.4
40,1.0,1.0,0.3333333333333333,0.2
41,0.14285714285714285,0.0,0.0,0.0
42,1.0,1.0,0.3333333333333333,0.2
43,1.0,1.0,0.3333333333333333,0.2
44,0.2,0.0,0.0,0.2
45,0.5,0.0,0.6666666666666666,0.4
46,0.1,0.0,0.0,0.0
47,1.0,1.0,0.3333333333333333,0.2
48,0.3333333333333333,0.0,0.3333333333333333,0.2
49,1.0,1.0,0.6666666666666666,0.4
50,1.0,1.0,0.3333333333333333,0.6
51,0.5,0.0,0.3333333333333333,0.2
52,1.0,1.0,1.0,0.6
53,0.14285714285714285,0.0,0.0,0.0
54,0.125,0.0,0.0,0.0
55,0.2,0.0,0.0,0.2
56,0.3333333333333333,0.0,0.3333333333333333,0.2
57,0.5,0.0,0.6666666666666666,0.4
58,0.16666666666666666,0.0,0.0,0.0
59,0.5,0.0,0.3333333333333333,0.2
60,0.25,0.0,0.0,0.2
61,1.0,1.0,1.0,1.0
62,0.3333333333333333,0.0,0.3333333333333333,0.6
63,0.5,0.0,0.3333333333333333,0.4
64,1.0,1.0,1.0,0.8
65,0.3333333333333333,0.0,0.3333333333333333,0.2
66,1.0,1.0,0.3333333333333333,0.2
67,0.2,0.0,0.0,0.2
68,1.0,1.0,0.3333333333333333,0.4
69,1.0,1.0,0.3333333333333333,0.6
70,0.2,0.0,0.0,0.2
71,0.2,0.0,0.0,0.2
72,1.0,1.0,0.6666666666666666,0.4
73,0.3333333333333333,0.0,0.3333333333333333,0.2
74,1.0,1.0,0.6666666666666666,0.4
75,0.3333333333333333,0.0,0.3333333333333333,0.4
76,1.0,1.0,0.6666666666666666,0.6
77,0.16666666666666666,0.0,0.0,0.0
78,0.1,0.0,0.0,0.0
79,0.3333333333333333,0.0,0.3333333333333333,0.2
80,0.5,0.0,0.3333333333333333,0.6
81,1.0,1.0,0.3333333333333333,0.6
82,0.2,0.0,0.0,0.2
83,1.0,1.0,1.0,1.0
84,1.0,1.0,0.6666666666666666,0.6
85,1.0,1.0,0.3333333333333333,0.6
86,0.5,0.0,0.3333333333333333,0.2
87,0.125,0.0,0.0,0.0
88,0.3333333333333333,0.0,0.3333333333333333,0.4
89,0.25,0.0,0.0,0.4
90,0.3333333333333333,0.0,0.3333333333333333,0.2
91,0.5,0.0,0.6666666666666666,0.4
92,0.5,0.0,0.6666666666666666,0.4
93,0.5,0.0,0.3333333333333333,0.4
94,1.0,1.0,0.6666666666666666,0.4
95,1.0,1.0,0.6666666666666666,0.6
96,1.0,1.0,1.0,0.8
97,1.0,1.0,0.6666666666666666,0.6
98,1.0,1.0,0.3333333333333333,0.6
99,1.0,1.0,0.6666666666666666,0.8
100,0.5,0.0,0.3333333333333333,0.4
101,0.5,0.0,0.6666666666666666,0.6
102,0.14285714285714285,0.0,0.0,0.0
103,0.5,0.0,0.3333333333333333,0.4
104,1.0,1.0,0.3333333333333333,0.2
105,0.5,0.0,0.3333333333333333,0.4
106,0.3333333333333333,0.0,0.3333333333333333,0.2
107,0.25,0.0,0.0,0.2
108,1.0,1.0,0.3333333333333333,0.6
109,1.0,1.0,0.6666666666666666,0.4
110,0.5,0.0,0.6666666666666666,0.4
111,0.5,0.0,0.6666666666666666,0.8
112,0.3333333333333333,0.0,0.3333333333333333,0.6
113,0.5,0.0,0.3333333333333333,0.2
114,1.0,1.0,0.3333333333333333,0.6
115,0.3333333333333333,0.0,0.3333333333333333,0.2
116,0.2,0.0,0.0,0.2
117,0.2,0.0,0.0,0.2
118,1.0,1.0,0.3333333333333333,0.4
119,0.25,0.0,0.0,0.4
120,0.2,0.0,0.0,0.2
121,1.0,1.0,0.3333333333333333,0.4
122,0.25,0.0,0.0,0.2
123,1.0,1.0,0.6666666666666666,0.4
124,0.14285714285714285,0.0,0.0,0.0
125,0.25,0.0,0.0,0.2
126,1.0,1.0,0.6666666666666666,0.6
127,0.3333333333333333,0.0,0.3333333333333333,0.2
128,0.16666666666666666,0.0,0.0,0.0
129,1.0,1.0,0.6666666666666666,0.6
130,1.0,1.0,0.6666666666666666,0.4
131,0.25,0.0,0.0,0.2
132,1.0,1.0,1.0,1.0
133,0.14285714285714285,0.0,0.0,0.0
134,1.0,1.0,0.6666666666666666,0.6
135,1.0,1.0,0.3333333333333333,0.4
136,0.5,0.0,0.3333333333333333,0.4
137,0.2,0.0,0.0,0.2
138,0.5,0.0,0.6666666666666666,0.6
139,1.0,1.0,1.0,0.6
140,0.5,0.0,0.3333333333333333,0.4
141,0.1,0.0,0.0,0.0
