,mrr,p_1,p_3,p_5
0,0.3333333333333333,0.0,0.3333333333333333,0.2
1,0.5,0.0,0.3333333333333333,0.2
2,0.5,0.0,0.3333333333333333,0.2
3,1.0,1.0,0.3333333333333333,0.2
4,1.0,1.0,0.6666666666666666,0.4
5,0.3333333333333333,0.0,0.3333333333333333,0.4
6,1.0,1.0,0.6666666666666666,0.4
7,0.5,0.0,0.3333333333333333,0.4
8,0.5,0.0,0.6666666666666666,0.6
9,1.0,1.0,0.3333333333333333,0.2
10,0.3333333333333333,0.0,0.3333333333333333,0.2
11,0.3333333333333333,0.0,0.3333333333333333,0.4
12,0.125,0.0,0.0,0.0
13,0.25,0.0,0.0,0.2
14,0.5,0.0,0.3333333333333333,0.4
15,1.0,1.0,1.0,1.0
16,0.3333333333333333,0.0,0.3333333333333333,0.2
17,0.5,0.0,0.3333333333333333,0.2
18,1.0,1.0,0.6666666666666666,0.4
19,0.25,0.0,0.0,0.2
20,1.0,1.0,0.6666666666666666,0.4
21,1.0,1.0,0.6666666666666666,0.4
22,0.3333333333333333,0.0,0.3333333333333333,0.2
23,0.1,0.0,0.0,0.0
24,0.2,0.0,0.0,0.2
25,1.0,1.0,0.6666666666666666,0.6
26,1.0,1.0,0.6666666666666666,0.6
27,1.0,1.0,0.6666666666666666,0.4
28,0.5,0.0,0.6666666666666666,0.4
29,0.5,0.0,0.6666666666666666,0.6
30,0.25,0.0,0.0,0.4
31,1.0,1.0,1.0,1.0
32,0.5,0.0,0.6666666666666666,0.6
33,0.3333333333333333,0.0,0.3333333333333333,0.4
34,0.3333333333333333,0.0,0.3333333333333333,0.2
35,1.0,1.0,0.3333333333333333,0.4
36,1.0,1.0,0.6666666666666666,0.6
37,0.3333333333333333,0.0,0.3333333333333333,0.2
38,1.0,1.0,0.3333333333333333,0.2
39,1.0,1.0,0.6666666666666666,0.4
40,1.0,1.0,0.3333333333333333,0.4
41,0.3333333333333333,0.0,0.3333333333333333,0.2
42,0.3333333333333333,0.0,0.3333333333333333,0.4
43,0.1111111111111111,0.0,0.0,0.0
44,0.5,0.0,0.3333333333333333,0.2
45,1.0,1.0,0.6666666666666666,0.4
46,1.0,1.0,0.3333333333333333,0.2
47,1.0,1.0,0.3333333333333333,0.4
48,0.125,0.0,0.0,0.0
49,0.3333333333333333,0.0,0.3333333333333333,0.4
50,0.5,0.0,0.6666666666666666,0.6
51,1.0,1.0,0.3333333333333333,0.4
52,1.0,1.0,1.0,0.8
53,0.5,0.0,0.6666666666666666,0.4
54,0.16666666666666666,0.0,0.0,0.0
55,1.0,1.0,0.6666666666666666,0.8
56,0.5,0.0,0.3333333333333333,0.6
57,1.0,1.0,0.6666666666666666,0.6
58,0.3333333333333333,0.0,0.3333333333333333,0.4
59,0.25,0.0,0.0,0.2
60,0.14285714285714285,0.0,0.0,0.0
61,1.0,1.0,1.0,0.8
62,1.0,1.0,0.3333333333333333,0.2
63,0.3333333333333333,0.0,0.3333333333333333,0.2
64,1.0,1.0,1.0,0.6
65,0.1111111111111111,0.0,0.0,0.0
66,0.5,0.0,0.3333333333333333,0.2
67,1.0,1.0,0.3333333333333333,0.2
68,1.0,1.0,0.6666666666666666,0.6
69,1.0,1.0,0.6666666666666666,0.4
70,0.2,0.0,0.0,0.2
71,0.2,0.0,0.0,0.2
72,0.3333333333333333,0.0,0.3333333333333333,0.4
73,1.0,1.0,0.3333333333333333,0.2
74,0.3333333333333333,0.0,0.3333333333333333,0.6
75,1.0,1.0,0.3333333333333333,0.6
76,1.0,1.0,0.6666666666666666,0.4
77,0.5,0.0,0.3333333333333333,0.4
78,0.1,0.0,0.0,0.0
79,0.5,0.0,0.6666666666666666,0.4
80,1.0,1.0,0.6666666666666666,0.6
81,0.5,0.0,0.3333333333333333,0.6
82,0.5,0.0,0.3333333333333333,0.2
83,0.5,0.0,0.6666666666666666,0.8
84,1.0,1.0,0.6666666666666666,0.6
85,1.0,1.0,0.6666666666666666,0.6
86,0.2,0.0,0.0,0.2
87,0.5,0.0,0.3333333333333333,0.2
88,0.3333333333333333,0.0,0.3333333333333333,0.4
89,1.0,1.0,0.6666666666666666,0.8
90,1.0,1.0,0.3333333333333333,0.4
91,1.0,1.0,0.6666666666666666,0.6
92,0.5,0.0,0.3333333333333333,0.2
93,0.3333333333333333,0.0,0.3333333333333333,0.4
94,0.3333333333333333,0.0,0.3333333333333333,0.4
95,0.5,0.0,0.6666666666666666,0.4
96,1.0,1.0,0.3333333333333333,0.4
97,0.3333333333333333,0.0,0.3333333333333333,0.6
98,0.5,0.0,0.6666666666666666,0.4
99,1.0,1.0,0.6666666666666666,0.4
100,0.5,0.0,0.6666666666666666,0.6
101,0.5,0.0,0.6666666666666666,0.6
102,0.25,0.0,0.0,0.2
103,0.5,0.0,0.3333333333333333,0.2
104,0.2,0.0,0.0,0.2
105,0.3333333333333333,0.0,0.3333333333333333,0.6
106,1.0,1.0,1.0,0.6
107,0.25,0.0,0.0,0.2
108,1.0,1.0,0.6666666666666666,0.8
109,1.0,1.0,0.3333333333333333,0.4
110,0.5,0.0,0.6666666666666666,0.8
111,1.0,1.0,0.6666666666666666,0.4
112,1.0,1.0,0.6666666666666666,0.6
113,0.5,0.0,0.6666666666666666,0.4
114,0.3333333333333333,0.0,0.3333333333333333,0.2
115,0.3333333333333333,0.0,0.3333333333333333,0.6
116,0.2,0.0,0.0,0.2
117,0.1111111111111111,0.0,0.0,0.0
118,0.5,0.0,0.6666666666666666,0.4
119,0.25,0.0,0.0,0.4
120,0.125,0.0,0.0,0.0
121,0.5,0.0,0.6666666666666666,0.4
122,0.16666666666666666,0.0,0.0,0.0
123,0.25,0.0,0.0,0.4
124,0.5,0.0,0.3333333333333333,0.2
125,0.2,0.0,0.0,0.2
126,0.25,0.0,0.0,0.4
127,0.5,0.0,0.6666666666666666,0.4
128,0.25,0.0,0.0,0.2
129,1.0,1.0,1.0,0.8
130,1.0,1.0,0.6666666666666666,0.6
131,0.25,0.0,0.0,0.2
132,0.3333333333333333,0.0,0.3333333333333333,0.4
133,0.2,0.0,0.0,0.2
134,1.0,1.0,0.6666666666666666,0.4
135,0.5,0.0,0.3333333333333333,0.4
136,0.25,0.0,0.0,0.2
137,0.2,0.0,0.0,0.2
138,0.5,0.0,0.3333333333333333,0.4
139,1.0,1.0,0.6666666666666666,0.6
140,0.5,0.0,0.3333333333333333,0.6
141,1.0,1.0,0.3333333333333333,0.2
142,0.5,0.0,0.6666666666666666,0.4
143,0.5,0.0,0.6666666666666666,0.6
144,0.2,0.0,0.0,0.2
145,0.3333333333333333,0.0,0.3333333333333333,0.2
146,1.0,1.0,1.0,0.6
147,0.25,0.0,0.0,0.2
148,0.3333333333333333,0.0,0.3333333333333333,0.2
149,1.0,1.0,0.6666666666666666,0.4
150,0.25,0.0,0.0,0.2
151,0.16666666666666666,0.0,0.0,0.0
152,1.0,1.0,0.6666666666666666,0.8
153,0.5,0.0,0.3333333333333333,0.2
154,0.3333333333333333,0.0,0.3333333333333333,0.2
155,1.0,1.0,0.6666666666666666,0.6
156,0.5,0.0,0.6666666666666666,0.8
157,0.25,0.0,0.0,0.2
158,0.14285714285714285,0.0,0.0,0.0
159,0.5,0.0,0.6666666666666666,0.6
160,1.0,1.0,0.6666666666666666,0.8
161,1.0,1.0,1.0,1.0
162,0.5,0.0,0.6666666666666666,0.6
163,0.3333333333333333,0.0,0.3333333333333333,0.6
164,1.0,1.0,0.3333333333333333,0.2
165,1.0,1.0,1.0,0.8
166,0.5,0.0,0.3333333333333333,0.4
167,0.2,0.0,0.0,0.2
168,1.0,1.0,1.0,0.8
169,0.16666666666666666,0.0,0.0,0.0
170,0.25,0.0,0.0,0.4
171,1.0,1.0,1.0,0.8
172,1.0,1.0,0.6666666666666666,0.8
173,0.25,0.0,0.0,0.2
174,0.16666666666666666,0.0,0.0,0.0
175,0.3333333333333333,0.0,0.3333333333333333,0.2
176,0.2,0.0,0.0,0.2
177,1.0,1.0,1.0,0.8
178,1.0,1.0,1.0,0.8
179,0.125,0.0,0.0,0.0
180,0.5,0.0,0.3333333333333333,0.2
181,0.125,0.0,0.0,0.0
182,0.2,0.0,0.0,0.2
183,0.125,0.0,0.0,0.0
184,1.0,1.0,0.6666666666666666,0.6
185,0.3333333333333333,0.0,0.3333333333333333,0.2
186,0.1111111111111111,0.0,0.0,0.0
187,0.3333333333333333,0.0,0.3333333333333333,0.2
188,0.14285714285714285,0.0,0.0,0.0
189,0.25,0.0,0.0,0.2
190,0.1111111111111111,0.0,0.0,0.0
191,0.25,0.0,0.0,0.2
192,0.5,0.0,0.3333333333333333,0.2
193,0.5,0.0,0.3333333333333333,0.4
194,0.5,0.0,0.3333333333333333,0.2
195,0.2,0.0,0.0,0.2
196,0.25,0.0,0.0,0.2
197,0.3333333333333333,0.0,0.3333333333333333,0.4
198,0.5,0.0,0.3333333333333333,0.2
199,0.14285714285714285,0.0,0.0,0.0
200,0.5,0.0,0.6666666666666666,0.4
201,0.25,0.0,0.0,0.2
202,0.3333333333333333,0.0,0.3333333333333333,0.2
203,0.125,0.0,0.0,0.0
204,1.0,1.0,0.3333333333333333,0.2
205,1.0,1.0,0.3333333333333333,0.4
206,1.0,1.0,0.6666666666666666,0.6
207,0.125,0.0,0.0,0.0
208,0.3333333333333333,0.0,0.3333333333333333,0.2
209,0.5,0.0,0.3333333333333333,0.2
210,1.0,1.0,0.3333333333333333,0.2
211,0.2,0.0,0.0,0.2
212,0.5,0.0,0.3333333333333333,0.2
213,0.1,0.0,0.0,0.0
214,0.2,0.0,0.0,0.2
215,0.2,0.0,0.0,0.2
