,mrr,p_1,p_3,p_5
0,0.1111111111111111,0.0,0.0,0.0
1,0.5,0.0,0.3333333333333333,0.2
2,1.0,1.0,0.3333333333333333,0.2
3,1.0,1.0,0.3333333333333333,0.2
4,0.2,0.0,0.0,0.2
5,1.0,1.0,0.6666666666666666,0.4
6,0.5,0.0,0.6666666666666666,0.4
7,1.0,1.0,0.3333333333333333,0.4
8,0.3333333333333333,0.0,0.3333333333333333,0.4
9,0.14285714285714285,0.0,0.0,0.0
10,0.5,0.0,0.3333333333333333,0.2
11,0.3333333333333333,0.0,0.3333333333333333,0.6
12,0.3333333333333333,0.0,0.3333333333333333,0.2
13,1.0,1.0,0.6666666666666666,0.4
14,1.0,1.0,0.6666666666666666,0.6
15,1.0,1.0,1.0,0.8
16,0.5,0.0,0.3333333333333333,0.4
17,0.3333333333333333,0.0,0.3333333333333333,0.4
18,0.16666666666666666,0.0,0.0,0.0
19,1.0,1.0,0.3333333333333333,0.2
20,1.0,1.0,0.3333333333333333,0.2
21,0.25,0.0,0.0,0.4
22,1.0,1.0,0.6666666666666666,0.4
23,1.0,1.0,0.3333333333333333,0.2
24,0.25,0.0,0.0,0.2
25,1.0,1.0,1.0,0.6
26,1.0,1.0,0.6666666666666666,0.8
27,0.5,0.0,0.6666666666666666,0.4
28,0.5,0.0,0.6666666666666666,0.6
29,1.0,1.0,0.6666666666666666,0.6
30,1.0,1.0,0.3333333333333333,0.2
31,1.0,1.0,0.6666666666666666,0.8
32,1.0,1.0,0.6666666666666666,0.6
33,1.0,1.0,0.6666666666666666,0.6
34,0.16666666666666666,0.0,0.0,0.0
35,0.2,0.0,0.0,0.2
36,1.0,1.0,0.6666666666666666,0.4
37,1.0,1.0,0.3333333333333333,0.6
38,0.3333333333333333,0.0,0.3333333333333333,0.2
39,1.0,1.0,0.6666666666666666,0.4
40,1.0,1.0,0.6666666666666666,0.6
41,0.5,0.0,0.3333333333333333,0.4
42,1.0,1.0,0.3333333333333333,0.2
43,0.3333333333333333,0.0,0.3333333333333333,0.2
44,1.0,1.0,0.3333333333333333,0.2
45,1.0,1.0,0.6666666666666666,0.8
46,0.1111111111111111,0.0,0.0,0.0
47,1.0,1.0,1.0,0.6
48,0.25,0.0,0.0,0.2
49,1.0,1.0,1.0,0.6
50,1.0,1.0,1.0,1.0
51,0.25,0.0,0.0,0.4
52,0.3333333333333333,0.0,0.3333333333333333,0.6
53,0.3333333333333333,0.0,0.3333333333333333,0.2
