issueid,post,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,correct_question
ansible_ansible_issues_26346,"Ansible shell command skips host after killing running process
##### ISSUE TYPE <!--- Pick one below and delete the rest: --> - Bug Report ##### COMPONENT NAME <!--- Name of the module/plugin/task/feature --> Shell ##### ANSIBLE VERSION <!--- Paste verbatim output from “ansible --version” between quotes below -->  <!--- Paste verbatim command output between quotes below --> Conclusion: As it can be seen in actual result when process is running in one of the host and not on other, the host in which the process was running gets skipped from further process. We can see that in testing2 play, we have only one host picked for running further process. The other host is not even picked. Which is not the case when process are not running in both hosts or running in both hosts. Ideally even if process is running in one host and not running in another, ansible should pick both the hosts for further steps.",Could you please try without resource pool and just specify `cluster` value ? You can see [here](https://github.com/ansible/ansible/blob/447b342662b966b1b4885fddca950ec341670c69/lib/ansible/modules/cloud/vmware/vmware_guest.py#L1712) - `resource pool` gets precedence over `cluster`. needs_info,Would you be willing to implement this ?,Could you please run [vmware_walk](https://github.com/jctanner/ansible-tools/blob/master/vmware/vmware_walk.py) as follows and use the suggested folder in vmware_guest_snapshot ? ,Can you mention what version of IOS you are running this against so that a workaround can be captured properly?,Can you run 'od -cx xl.json' to see whether there is a Byte Order Mark present? needs_info,Did it happen also before 2.1.1? Any custom SSH configs?,Do you have the ability to test this on Ansible 2.3 RC2?,Does this work for you on 2.3 or devel? needs_info,Does the 'include' need to be an 'import'? ala http://jinja.pocoo.org/docs/2.9/templates/#import,Shouldn't it be {{ ldiff.name }} or {{ ldiff.gid }} to access the values of one of the keys instead of the entire dict? needs_info,Does this work for you on 2.3 or devel? needs_info
ajenti_ajenti_issues_356,"Heartbleed Vulnerability
![](http://puu.sh/85DQt.png)",How can we fix this?,What I wonder is if the non-center block's TE really have to implement IPowerReceptor?,Could you have checked this was the case first?,Can you confirm this is always the case where you see this issue? I am currently scheduled time to work on improving GQL from next week.,Does everything work without Squid as reverse proxy in front of Graylog?,Does Gitlab not delete the containers?,"What happens if you try and open the image directly (look for ""size"" link in the sidebar)?",Did this happen in the previous versions? Tks,"Would you mind trying it out and letting me know how it goes? If it still doesn't work, would you mind sharing the results of: `ps -A`",How do you build ffmpeg?,How can we fix this?
mpv-player_mpv_issues_3859,"Foldered DVD/Blu-ray have problems seeking
Seeking is weird with these. It produces problems with playback, and sometimes with image. [Here ](https://mega.nz/#!bM1lGTTK!SjkcEyMd1t1mv9gubRzIN-nvA-grPlhWoSoRQyckb8Y)is a video displaying the three possible outcomes I've found. **Case 1** This is what happens with 99.9% of DVDs, and some Blu-rays, that I've tried: with a small value (0.8), seeking forwards gets stuck, and seeking backwards either gets stuck, or goes forward. Seeking with a high value (35) works fine. **Case 2** Seeks backwards fine, but gets stuck on forward with a low value. Also, the video is screwed during and shortly after seeking, plus sometimes there's a problem in which after seeking, the video plays super fast and desynchronises itself with the audio (not seen on the recording I did). **Case 3** Opening from VIDEO_TS - Works perfectly up to a certain point, From this point on, I can no longer advance by seeking forward because it goes back to a this specific point every time I attempt (the frame it goes back to varies depending if I use the high or low value). The only way for the video to advance is just letting it play. If I let it advance a bit, and then seek (high) forward one time, it has another point of return, but I still cannot seek forward. If I let it advance, and then seek forward many times, it goes back to the original point of return. Opening from VTS_01_0 - Almost everything works properly. The only exception is that seeking backwards with no-osd needs to be done constantly, otherwise it gets stuck.",Can you try and put together a [reduced test case](http://jsbin.com/axedog/latest/edit)?,"Can you provide a reduced test case please? Also, which version of Chrome on which OS? I cannot reproduce locally.","how frequently you reproduce this issue? Out of videojs and video-contrib-dash, can you reproduce this issue in latest version of the reference player (http://reference.dashif.org/dash.js/v2.6.0/samples/dash-if-reference-player/index.html)?",Do people ever read the issue template?,What does the output of `tail -n 5 ~/.bash_profile` give you?,Can you please post an ackuaria screenshot like last time? In no case should the video freeze since we disabled that functionality with #1417,"Does changing the SeekByTime value fix it? There are 3 options: exclusive, true or false","Can you try with v5 and see if you get the same issues? http://jsbin.com/zuqeroxexa/edit?html,console,output",What version of mesa/libdrm/kernel/amdgpu are you on?,What is 1m marker?,Do people ever read the issue template?
activeadmin_activeadmin_issues_4198,"Batch Actions Dropdown Disabled Uncaught ReferenceError: options is not defined
Hello, I posted my problem on StackOverflow: http://stackoverflow.com/questions/33726920/active-admin-batch-dropdown-disabled-uncaught-referenceerror-options-is-not-def","Maybe you are using a build that doesn't include it and aren't including it yourself? Try this build here, which does include JQuery: https://github.com/rii-mango/Papaya/tree/master/release/current/standard",Can you try to whittle down what might be causing the ReferenceError?,"Can you give the full error message and backtrace? If you haven't seen them already, the wiki has two pages devoted to complex batch workflows.",Do you have a stack trace for the `ReferenceError`?,Can you confirm this issue with the latest stable version of Chrome? What version do you use?,"Do you have JavaScript enabled in the browser? Also, have you tried the release version [ampache-3.8.6_all.zip](https://github.com/ampache/ampache/releases/tag/3.8.6)?",Does this occur if you create a brand new app on Rails 4 with AA?,Did you include datajs? How do you create your context? Do you wait for onReady()? Please provide more info. Does it work for you with a simpler use case?,What's the line 407 in you compiles js?,Does that make sense?,What's the line 407 in you compiles js?
fnando_browser_issues_439,"Unsupported useragent Outlook mail app for iOS
## Description Unsupported User agent request ua: ""Outlook-iOS/719.3623017.prod.iphone (4.20.0)"" This is the user agent for the outlook application on IOS ## How to reproduce  ## Report [Visit <http://user-agent.herokuapp.com> and paste the URL here] unfortunatly cannot run urls in the outlook ios app, if you know how i can definitely give it a try this is the useragent given by rails for this user : ""Outlook-iOS/719.3623017.prod.iphone (4.20.0)"" if I can provide any better information let me know",Does this crash happen consistently or a one off thing?,"Does this app also exist for other platforms, most notably Android? We'd need those user agents as well.",Can you rule out the different platformVersions (9.0 vs 9.1)?,Maybe it is a difference when using jsdom.jsdom() in the tests vs. jsdom.env() or something else in your original code?,Could you provide a protocol log with connection logger? Thanks.,Do you happen to have a stack trace of the program at the point where it logged that exception?,what happens if you just run deviceconsole on its own?,"Can you make sure you run the ""buy"" function with the itemId and NOT the productId ?",Did you read https://appium.io/docs/en/writing-running-appium/ios/ios-tvos/ ? platformName should be tvOS.,Did it work?,"Does this app also exist for other platforms, most notably Android? We'd need those user agents as well."
rubygems_rubygems_issues_627,"gem push results in ""No Stairway, denied!""
I'm trying to push a new version of my gem live. When I do ",Why are you calling stopAPNS in the timer2_Elapsed?,"What does requestSubscription() resolve to? What does await (await navigator.serviceWorker.getRegistration()).pushManager.getSubscription() resolve to if you call it manually? <sub>Again, this is really hard to investigate without a reproduction :grin:</sub>",What version of bundler and rubygems are you using? Can you try upgrading bundler and rubygems see if the error still occurs?,Why don't you place the .p8 file in the same folder as your code?,Can you create a ticket at http://help.rubygems.org?,When are you not seeing the permissions being sent to the server? From our testing they are sent when available.,Did you add the permissions and intent filters?,Can you create a reproduction script that reproduces the error for you?,what makes it not possible to do that? how is that a Rubygems issue?,could you check this with 2.0.0 version?,Can you create a ticket at http://help.rubygems.org?
HdrHistogram_HdrHistogram_issues_116,"add method double getMeanBelowPercentile(final double percentile)
Hi guys, Most time I do not like the whole mean time, I just wanted the mean time below 99.9%. Could you please consider add a method to get the mean time by percentile. Thanks a lot! Jiming",Can you re-open this at the [docs repo](https://github.com/webpack/webpack.js.org/issues)? Thanks.,What paragraphs for example? How would you have written them in less lines? What are your suggestions to make it better (less boring and less time consuming)?,What is what you are experiencing?,Would you fancy opening a PR to fix this?,how is it generally useful?,"Could you please explain how you would use the `now` option, or how do you expect it to affect the Timepicker's behaviour?",Does that look right to you?,"What are the ""performance"" considerations?",What do you think?,"How were you trying to use YCSB with these other databases? We do not currently have bindings for rocksdb, leveldb, or riak.",how is it generally useful?
compomics_moFF_issues_8,"Questions about the rt_w and charge
Hi, I have two algorithm level questions: 1. Dose moFF only extract ion intensities with rt_w even though the intensity curve keeps going out of the range of rt_w? 2. Dose moFF check the charge state given a mz and rt coordinate? Or, is it just blindly extract ion intensity no matter if the charge state is the same as that in the input file? It will be more than grateful if you can answer these two questions. However, it is totally OK if you don't have time. I will read the source code by myself when I have time. Thanks","When it hangs are you running one of the supplied examples, or your own program?",What's the source of this file?,What's your make version?,Can you explain me better your suggestion in this example ?,Can you specify what kind of microcontrollers you are talking about?,Will you provide more context about where you added `keep = False` to the state? I looked over the code but didn't see anything obvious to me.,do you want to make a PR bugfix on this? otherwise i can do this myself,"Can you attach your config.log? Also, if you saw my response in #7 I still suggest installing via Spack.","what are your abstractions doing? maybe you can join some effort, or if its something different, we can make them more known if they are of general interest...",Can you try again?,Can you explain me better your suggestion in this example ?
dotnet_orleans_issues_320,"Handling multiple environments / versions of a cluster
Hi We're struggling with questions around handling versioning and environments of an Orleans application (details ahead), and I'm hoping there might be some directions or tips on how to handle this. If there was already a discussion about this (I didn't find one), please point me to it. The situation in question: You (we) have an Orleans application, and there are state-full grains in it. Now we want to deploy a new version of the application. There are two main steps for deploying a new version: 1. Upload the new version to a staging environment. In this phase the old and the new version lives side by side, and the new version is being tested. 2. Deploy the new version to production. Since this requires a cluster restart, it actually means deploy the new version to a new cluster, and then ""switch"" between the old and new clusters. Both this steps contain a bag of problems with handling grains and their states. For the sake of the example, lets assume we have in the application a _UserGrain_ that represents the state of a user. So while in staging, if the same user switches between staging and production, there may be a conflict between the states in each environment. Since there's a _UserGrain_ for the user in each environment, each holding its own state, they will be different (even if it gets persisted, the other grain in the second cluster does not know it needs to refresh its state). A different flavor of the problem appears when switching between the old and new versions. This is never a ""singular point in time"" event (unless you can sustain downtime, which you normally can't). This means that there might be requests that are still handled by the old version while the new version is already up. So again - a _UserGrain_ of a user might change state in the old version while this not being recognized by the new version. This can be potentially handled by ""streaming"" all changes from the old version to the new version, but this seems to be a huge overhead and complication to the system. Are there any best practices for handling this? How do you handle production changes?",How do you run your tests and what fails while doing so? You should have your local virtualenv enabled and then run `./runtests.sh` from the root of the checkout.,"Could you please indicate if you selected ""match all rules"" or ""match any rules"" on the edit stream rules page?",Do you have any special triggers? regards,Can you try setting `require-dependency-filter` to `false` in your `satis.json`?,What problems are you having?,Did you solved your problem @miv ?,"What firmware is this with? Plane, Copter, Rover?",Can you try deleting the `.vagrant` directory in your project root and run `vagrant up` again?,Can you explain why you would expect the state to change even if the navigation gets cancelled?,"Wouldn't you test staging against a set of test/fake users that wouldn't overlap with the real ones? Otherwise, you are right - it's the same problem.","Wouldn't you test staging against a set of test/fake users that wouldn't overlap with the real ones? Otherwise, you are right - it's the same problem."
nwjs_nw.js_issues_1528,"Crash on OSX 10.9
I have received from one user info that my app crashes on his computer (OSX 10.9.1). The error details can be found here: https://gist.github.com/szwacz/8716485 NW crash dump file was not generated. My app uses NW v0.8.0-rc1. I've read release notes of next versions of NW and didn't noticed any bugfix which could obviously relate to this issue, so I'm guessing this is still valid.",can you try with `brew install icu4c` and then run again?,"Can you upload your `.nw` file somewhere (to [Dropbox](https://www.dropbox.com/), for example) so that all of us could have a look?",does 0.9.1 works well for you?,What's your OS version? Is dbghelp.dll in the same dir with nw.exe?,Could you please send me the crash dump file (.dmp)?,what could be a fix? Can i move that folders in serialport/node_modules up in the actual folder (app/node_modules).,Does iPad support WebGL?,Could you please provide a full sample (not code snippets) so I can reproduce? I tried a sample but the behaviour is the same between nw1 and nw2.,"Can you try pointing your `middleman-sprockets` dependency at github master? `gem ""middleman-sprockets"", github: ""middleman/middleman-sprockets""`",Did 0.23.4 work for you?,does 0.9.1 works well for you?
